Accession	BAPS_Group
ERR2631756	27
ERR3201158	27
ERR2631927	27
ERR3200946	27
ERR1204794	27
ERR3201324	27
ERR3201082	27
ERR2631784	27
ERR3201122	27
ERR3201153	27
ERR2631878	27
ERR3201149	27
ERR3200880	27
ERR2632005	27
ERR3201135	27
ERR2632038	27
ERR3200932	27
ERR3200879	27
ERR1837120	27
ERR3200862	27
ERR3201077	27
ERR3200944	27
ERR3201279	27
ERR3201351	27
ERR2632044	27
ERR2632043	27
ERR3201095	27
ERR1555233	27
ERR3200993	27
ERR3201044	27
ERR3200975	27
ERR3201165	27
ERR3200922	27
ERR2631733	27
ERR3201028	27
ERR3201373	27
ERR3201265	27
ERR3201032	27
ERR3201268	27
ERR3201060	27
ERR2632016	27
ERR3200855	27
ERR3201334	27
ERR3201276	27
ERR2631884	27
ERR2631858	27
ERR3200877	27
ERR3201071	27
ERR1837102	27
ERR3201140	27
ERR2632008	27
ERR2631745	27
ERR2632014	27
SRR1661194	27
GCGS0359	27
GCGS0536	27
SRR969343	27
SRR969342	27
SRR969348	27
SRR969350	27
SRR969338	27
SRR1661320	27
ERR1555166	27
SRR969340	27
SRR969344	27
GCGS0541	27
GCGS0839	27
GCGS0364	27
GCGS0766	27
GCGS0362	27
GCGS0663	27
ERR388286	27
ERR3201081	27
ERR3200973	27
GCGS0172	27
SRR3357229	27
ERR3200969	27
ERR3201205	27
ERR3201293	27
SRR5827025	27
ERR2631728	27
ERR3201344	27
ERR3200994	27
ERR1560895	27
GCGS1013	27
SRR1661295	27
ERR3201260	27
SRR1661316	27
SRR2736218	27
SRR2736289	27
ERR449485	27
ERR2133973	27
ERR2133974	27
ERR1560939	27
GCGS0286	27
GCGS0317	27
ERR449496	27
SRR5827137	27
SRR5827371	27
SRR5827286	27
SRR5827162	27
SRR5827174	27
SRR5827072	27
SRR5827165	27
SRR5827164	27
SRR5827232	27
SRR5827243	27
ERR349971	16
ERR349901	16
SRR3361307	16
SRR3360688	16
ERR388338	16
ERR2172310	16
ERR2172259	16
SRR3360708	16
GCGS0470	16
ERR2172319	16
ERR2172344	16
ERR2172278	16
ERR2172318	16
ERR2172295	16
ERR2172258	16
ERR2172300	16
ERR2172346	16
ERR2172345	16
ERR2172311	16
ERR2172307	16
ERR2172255	16
ERR2172342	16
ERR2172284	16
ERR2172326	16
ERR2172334	16
ERR2172313	16
ERR2172266	16
ERR2172286	16
ERR2172265	16
ERR2172309	16
ERR2172303	16
ERR2172317	16
ERR2172350	16
ERR2172254	16
ERR2172274	16
ERR2172277	16
ERR2172336	16
ERR2172270	16
ERR2172335	16
ERR2172296	16
ERR2172290	16
ERR2172288	16
ERR2172325	16
ERR2172273	16
ERR2172280	16
ERR2172330	16
ERR2172304	16
ERR2172267	16
ERR2172352	16
ERR2172298	16
ERR2172276	16
ERR2172351	16
ERR2172272	16
ERR2172312	16
ERR2172348	16
ERR2172337	16
ERR2172332	16
ERR2172347	16
ERR2172291	16
ERR2172349	16
ERR2172271	16
ERR2172340	16
ERR2172321	16
ERR2172287	16
ERR2172305	16
ERR2172354	16
ERR2172324	16
ERR2172283	16
SRR7226388	16
ERR2172285	16
ERR2172302	16
ERR2172343	16
ERR2172279	16
ERR2172316	16
ERR2172328	16
ERR2172301	16
ERR2172268	16
ERR2172256	16
SRR7226378	16
ERR2172339	16
ERR2172260	16
ERR2172269	16
ERR2172308	16
ERR2172262	16
SRR7226386	16
ERR2172257	16
SRR7226417	16
SRR7226383	16
SRR7226382	16
ERR2172353	16
ERR2172333	16
ERR2172329	16
ERR2172341	16
ERR2172320	16
SRR7226394	16
GCGS0745	16
GCGS0604	16
ERR2172338	16
ERR2172275	16
ERR2172281	16
ERR2172331	16
ERR2172314	16
ERR2172306	16
ERR2172282	16
ERR2172323	16
ERR2172294	16
ERR2172293	16
ERR2172299	16
ERR2172322	16
ERR2172315	16
ERR2172327	16
SRR969389	16
ERR2172292	16
ERR2172289	16
ERR2172264	16
ERR2172261	16
ERR2172263	16
ERR2172297	16
ERR349886	16
GCGS1081	16
ERR349958	16
ERR363601	16
ERR349905	16
SRR969382	16
SRR1661331	16
GCGS0249	16
GCGS0374	16
GCGS0275	16
GCGS0276	16
GCGS0577	16
GCGS0409	16
GCGS0795	16
ERR3200968	16
ERR2133919	16
ERR2133921	16
ERR2133920	16
ERR2133918	16
SRR3360609	16
SRR3360670	16
GCGS0763	16
SRR3357305	16
ERR1549700	16
ERR1549708	16
ERR1680319	16
ERR1549698	16
ERR1469717	16
ERR1469697	16
ERR1469673	16
ERR1469672	16
ERR1469678	16
ERR1469674	16
SRR3360669	16
ERR2133946	16
ERR2133947	16
ERR2133948	16
GCGS0009	16
ERR388331	16
GCGS1025	16
SRR969351	16
GCGS0106	16
GCGS0300	16
SRR3361353	16
SRR3360638	16
SRR3360701	16
ERR1549781	16
ERR1549737	16
GCGS0416	16
SRR3361340	16
GCGS0610	16
SRR2736267	16
SRR2736297	16
SRR2736286	16
SRR2736303	16
SRR2736282	16
SRR2736284	16
SRR2736291	16
SRR2736283	16
SRR2736302	16
SRR2736287	16
SRR2736278	16
SRR2736292	16
SRR2736285	16
SRR2736288	16
SRR2736296	16
SRR2736295	16
ERR388330	16
GCGS0434	16
GCGS0601	16
GCGS0010	16
GCGS0144	16
SRR3360953	16
ERR3201337	16
ERR1560904	16
ERR1560885	16
ERR1560905	16
ERR1560906	16
GCGS0540	16
GCGS0062	16
ERR2632009	16
GCGS0092	16
ERR2631855	16
GCGS0523	16
ERR3201036	16
SRR3360685	16
ERR1528331	16
ERR1528192	16
ERR1514704	16
ERR1680303	16
ERR1549763	16
ERR1514716	16
ERR1514702	16
ERR1514711	16
ERR1528216	16
ERR1555156	16
ERR1549762	16
ERR388415	16
ERR1549778	16
ERR1528306	16
ERR1555213	16
SRR3360747	16
SRR3360754	16
SRR3360730	16
SRR3361349	16
ERR1560827	16
ERR1560831	16
ERR1560877	16
ERR1528310	16
ERR1528299	16
ERR1555205	16
ERR1560819	16
ERR1560835	16
ERR1555248	16
ERR1560786	16
ERR1560785	16
ERR1528200	16
ERR2632020	16
ERR1560800	16
ERR1560850	16
ERR1560882	16
ERR1560810	16
ERR1560793	16
ERR1560845	16
ERR349894	16
SRR3360640	16
ERR2133934	16
ERR2133933	16
ERR2133935	16
ERR2133936	16
SRR2736159	16
GCGS0787	16
SRR3360689	16
ERR3201070	16
ERR1621697	16
ERR1621699	16
SRR5827372	16
SRR5827082	16
SRR5827403	16
GCGS0701	16
GCGS0642	16
ERR3201126	16
ERR3200841	16
ERR1555234	16
ERR1469623	16
ERR1555182	16
ERR1549741	16
ERR1549742	16
ERR1528206	16
ERR1555190	16
ERR1555242	16
ERR1555230	16
ERR1555245	16
ERR1555249	16
ERR1555235	16
ERR1555236	16
SRR3357077	16
ERR1528332	16
SRR5827259	16
SRR5827356	16
SRR5827375	16
SRR5827367	16
SRR5827220	16
SRR5827146	16
SRR5827170	16
SRR5827263	16
SRR5827110	16
SRR5827199	16
SRR5827211	16
SRR5827104	16
SRR5827021	16
SRR5827073	16
SRR5827227	16
SRR5827172	16
SRR5827408	16
SRR5827171	16
SRR5827405	16
SRR5827038	16
SRR5827308	16
SRR5827362	16
SRR5827357	16
SRR5827056	16
SRR5827359	16
SRR5827392	16
SRR5827249	16
SRR5827298	16
SRR5827390	16
SRR5827323	16
SRR5827085	16
SRR5827404	16
SRR7226392	16
SRR5827364	16
SRR5827159	16
SRR5827338	16
SRR5827336	16
SRR5827302	16
SRR5827400	16
SRR5827041	16
SRR5827333	16
SRR5827254	16
SRR5827020	16
SRR5827410	16
SRR5827028	16
SRR5827037	16
SRR5827355	16
SRR5827346	16
SRR5827253	16
SRR2736304	16
SRR2736305	16
SRR2736298	16
SRR2736293	16
SRR2736272	16
SRR2736271	16
SRR2736294	16
SRR2736269	16
ERR2133984	16
ERR2133985	16
ERR2133982	16
ERR2133983	16
ERR1514722	16
ERR1514727	16
ERR1469677	16
ERR1469675	16
ERR1471148	16
ERR1469644	16
ERR1602777	16
ERR1514774	16
ERR1514758	16
ERR1469583	16
ERR1514792	16
ERR1514760	16
ERR1514747	16
ERR1528139	16
SRR3360746	16
SRR3360710	16
SRR3360642	16
SRR3357160	16
ERR1560896	16
ERR3201100	16
ERR1560900	16
ERR1837122	16
ERR3201101	16
ERR1555162	16
ERR1560812	16
ERR1528181	16
ERR1514786	16
ERR1469710	16
SRR3360650	16
ERR388395	16
ERR2133941	16
ERR2133940	16
SRR2736250	16
SRR2736306	16
SRR2736268	16
SRR2736299	16
SRR2736300	16
SRR2736192	16
SRR2736189	16
SRR2736195	16
SRR2736194	16
SRR2736190	16
SRR2736197	16
SRR2736219	16
SRR2736239	16
SRR2736238	16
SRR2736233	16
SRR2736240	16
SRR2736234	16
SRR2736235	16
SRR2736237	16
SRR2736251	16
SRR2736252	16
SRR2736236	16
SRR2736196	16
SRR2736191	16
SRR2736188	16
SRR2736208	16
SRR2736221	16
SRR2736207	16
SRR2736206	16
SRR1661218	16
SRR1661223	16
ERR388299	16
GCGS0230	16
GCGS0176	16
GCGS0467	16
GCGS0204	16
GCGS0202	16
GCGS0120	16
GCGS0224	16
GCGS0694	16
GCGS0226	16
GCGS0198	16
GCGS0128	16
GCGS0138	16
GCGS0038	16
GCGS0136	16
GCGS0018	16
ERR3201145	16
SRR1661281	16
SRR2736211	16
ERR1514790	16
ERR3201211	16
ERR1469645	16
ERR1469667	16
ERR1469666	16
ERR1602772	16
ERR1469670	16
ERR1514828	16
ERR2631995	16
ERR3201212	16
ERR3201251	16
ERR3201141	16
ERR3201296	16
ERR3201103	16
ERR3201020	16
GCGS0582	16
ERR2631840	16
ERR3201133	16
ERR3201173	16
ERR3201012	16
GCGS0681	16
ERR3200851	16
ERR2631779	16
ERR3200843	16
ERR3200848	16
GCGS0657	16
ERR3201361	16
GCGS0732	16
SRR3360745	16
ERR3201112	16
ERR3201228	16
GCGS0192	16
GCGS0371	16
GCGS0696	16
GCGS0698	16
ERR3200984	16
ERR3200822	16
ERR3201281	16
ERR3201152	16
ERR1549791	16
ERR1560922	16
ERR1469729	16
ERR2631904	16
ERR2631895	16
ERR2631816	16
GCGS0433	16
SRR2736202	16
GCGS0096	16
GCGS0098	16
GCGS0485	16
GCGS0484	16
GCGS0482	16
GCGS0332	16
GCGS0174	16
GCGS0156	16
GCGS0401	16
ERR3201163	16
GCGS0665	16
GCGS0228	16
ERR3200872	16
ERR3200978	16
ERR2133929	16
ERR2133930	16
ERR1560881	16
ERR3200996	16
ERR1514746	16
ERR1469656	16
ERR1514787	16
ERR1469646	16
ERR1471147	16
ERR1528256	16
ERR1528257	16
ERR1528287	16
ERR1528260	16
ERR1528166	16
ERR1528244	16
ERR1549786	16
ERR1555160	16
ERR1560934	16
ERR1555243	16
ERR1555247	16
ERR1560907	16
ERR1560942	16
ERR3201290	16
GCGS0354	16
ERR3201127	16
ERR1837118	16
ERR1469561	16
ERR1469566	16
ERR1560854	16
ERR2631809	16
GCGS0084	16
GCGS0083	16
ERR3200924	16
ERR3201048	16
ERR3200985	16
GCGS0458	16
GCGS0661	16
GCGS0789	16
ERR1837115	16
GCGS0477	16
GCGS0644	16
ERR3201148	16
ERR3201230	16
SRR2736225	16
SRR2736242	16
SRR2736290	16
SRR2736255	16
SRR2736275	16
SRR2736256	16
SRR2736249	16
ERR3200888	16
ERR3201010	16
ERR2631941	16
ERR3201323	16
ERR3201185	16
ERR3201057	16
ERR3201319	16
ERR3200898	16
ERR3201320	16
ERR3201099	16
ERR2632018	16
ERR3201328	16
ERR2632007	16
ERR2631993	16
SRR2736212	16
GCGS0426	16
GCGS0422	16
ERR1555164	16
GCGS0747	16
ERR3201015	16
ERR2631783	16
ERR2631730	16
ERR3201285	16
GCGS0645	16
ERR2631931	16
ERR1528179	16
ERR1469574	16
ERR1469567	16
ERR3200966	16
ERR3200965	16
ERR3201073	16
ERR3201083	16
ERR3201232	16
GCGS0544	16
ERR3201176	16
ERR1549759	16
ERR3201343	16
ERR3201333	16
ERR3201250	16
ERR1528230	16
ERR1837131	16
ERR3201253	16
GCGS0574	16
GCGS0658	16
GCGS0611	16
GCGS0404	16
GCGS0405	16
GCGS0406	16
GCGS0587	16
GCGS0402	16
GCGS0403	16
SRR7226413	16
SRR7226416	16
GCGS0575	16
ERR2631869	16
GCGS0522	16
ERR2631879	16
SRR7226410	16
ERR2631867	16
ERR2631862	16
GCGS0355	16
GCGS0497	16
ERR1204772	16
ERR3201132	16
SRR1661313	16
GCGS0518	16
SRR2736217	16
GCGS0110	16
ERR3201130	16
ERR3200833	16
ERR2631778	16
SRR5827388	16
SRR5827127	16
SRR5827273	16
SRR5827363	16
SRR5827281	16
SRR5827280	16
SRR5827203	16
SRR5827250	16
SRR5827345	16
SRR5827139	16
ERR3201171	16
ERR3201202	16
ERR1528270	16
ERR1528298	16
ERR1528293	16
ERR1560844	16
ERR1560789	16
SRR5827053	16
SRR5827297	16
SRR5827295	16
SRR5827206	16
SRR5827378	16
SRR5827142	16
SRR5827105	16
ERR2133979	16
ERR2133980	16
ERR2133981	16
GCGS0641	16
GCGS0379	16
GCGS0378	16
GCGS0126	16
GCGS0361	16
GCGS0669	16
GCGS0476	16
GCGS0478	16
GCGS0436	16
GCGS0638	16
GCGS0118	16
GCGS0372	16
ERR1469740	16
ERR2631747	16
ERR1549686	16
ERR1680316	16
SRR7226415	16
SRR7226399	16
ERR388386	16
ERR1555161	16
ERR1514764	16
ERR1555219	16
ERR3201061	16
ERR3201104	16
ERR3200902	16
ERR2631757	16
ERR2632017	16
ERR2631864	16
ERR3201336	16
ERR3201025	16
ERR3201300	16
ERR3200977	16
ERR3200941	16
ERR2631883	16
ERR2631845	16
ERR3201120	16
SRR5827266	16
SRR5827262	16
GCGS0564	16
ERR3201264	16
ERR1549696	16
SRR2736181	16
ERR1204813	16
ERR1560952	16
ERR2631857	16
ERR1555215	16
ERR1528204	16
ERR1528312	16
ERR1555211	16
ERR1528303	16
ERR1528307	16
ERR1528302	16
ERR1514834	16
ERR1469726	16
ERR1514741	16
ERR1528246	16
ERR1555208	16
ERR2632039	16
ERR2631837	16
ERR3201136	16
ERR3201119	16
ERR3201213	16
ERR3201097	16
GCGS0584	16
ERR1204786	16
ERR2631966	16
ERR2631885	16
ERR3200979	16
ERR3201366	16
GCGS0455	16
GCGS0660	16
ERR3201225	16
DRR124736	16
DRR124807	16
DRR124822	16
DRR124848	16
DRR124721	16
DRR124821	16
GCGS0583	16
ERR2631800	16
ERR2631801	16
GCGS0827	16
GCGS0316	16
GCGS0545	16
ERR3201139	16
ERR1528258	16
ERR3201210	16
ERR3201209	16
GCGS0593	16
GCGS0643	16
ERR2631915	16
ERR3200955	16
ERR2631960	16
GCGS0857	16
GCGS0670	16
GCGS0468	16
ERR2631808	16
GCGS0338	16
GCGS0550	16
GCGS0560	16
SRR3357264	16
ERR3201203	16
ERR3200870	16
ERR1555188	16
ERR1555193	16
ERR1469730	16
ERR2632041	16
ERR1549682	16
ERR1514775	16
ERR1560889	16
GCGS0807	16
GCGS0218	16
SRR3360706	16
ERR1528205	16
ERR1549710	16
ERR1549715	16
ERR1549712	16
SRR2736253	16
ERR3201302	16
ERR3201259	16
ERR2632001	16
ERR2632019	16
ERR2631899	16
ERR3201016	16
ERR3201014	16
ERR3200988	16
ERR3200989	16
ERR3200997	16
ERR3200949	16
ERR3201325	16
ERR3201045	16
ERR3200986	16
ERR3200992	16
ERR3200890	16
ERR2631742	16
ERR3201125	16
ERR1837129	16
ERR2631957	16
ERR2631873	16
ERR3201292	16
ERR2631781	16
ERR3200897	16
ERR3201029	16
ERR2631905	16
ERR3201299	16
ERR3201332	16
ERR1621696	16
ERR1555216	16
ERR1560930	16
ERR1621698	16
ERR1514757	16
ERR1549764	16
ERR1528251	16
ERR3201013	16
ERR1602788	16
ERR1555237	16
ERR2631963	16
ERR3201258	16
ERR3201143	16
ERR3201086	16
ERR1528162	16
ERR1528164	16
ERR3201128	16
ERR3201221	16
ERR3201017	16
ERR3201208	16
ERR1680318	16
ERR1514696	16
GCGS0552	16
SRR1661261	16
SRR1661211	16
SRR2736210	16
ERR1549761	16
ERR1560880	16
ERR1602795	16
GCGS0516	16
GCGS0813	16
GCGS0719	16
GCGS0528	16
GCGS0823	16
GCGS1033	16
GCGS1030	16
GCGS1032	16
GCGS1031	16
GCGS0527	16
GCGS0535	16
GCGS0531	16
GCGS0534	16
GCGS0532	16
GCGS0533	16
GCGS0721	16
GCGS0308	16
GCGS0720	16
GCGS0649	16
GCGS0595	16
GCGS0622	16
GCGS0505	16
GCGS0771	16
GCGS0772	16
GCGS0621	16
GCGS0503	16
GCGS0741	16
GCGS1082	16
GCGS1083	16
GCGS0071	16
GCGS0149	16
GCGS0213	16
GCGS0221	16
GCGS0215	16
GCGS0225	16
GCGS0193	16
GCGS0211	16
GCGS0161	16
GCGS0153	16
GCGS0964	16
GCGS0890	16
GCGS0931	16
GCGS0201	16
GCGS0203	16
GCGS0223	16
GCGS0175	16
GCGS0197	16
GCGS0171	16
GCGS0073	16
GCGS0167	16
GCGS0853	16
GCGS0821	16
GCGS0820	16
GCGS0207	16
GCGS0169	16
GCGS0199	16
GCGS0209	16
GCGS0173	16
GCGS0191	16
GCGS0219	16
GCGS0217	16
GCGS0941	16
GCGS0750	16
GCGS0337	16
ERR2631918	16
GCGS0705	16
GCGS0285	16
GCGS0751	16
