Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
ERR1204804	14	0	14	0	448389	0.000000	0.000000	2158130	1717238
ERR1204805	0	0	0	0	483240	0.000000	0.000000	2110292	1642575
ERR1204806	21	21	0	2	459571	0.000000	0.000000	2155019	1704174
ERR1204807	134	109	25	3	543614	4.360000	0.120000	2133048	1618945
ERR1204812	17	14	3	2	424232	4.666667	0.666667	2147924	1738568
ERR1204813	0	0	0	0	529492	0.000000	0.000000	2113360	1602836
ERR2631822	5	0	5	0	525813	0.000000	0.000000	2125663	1619002
ERR2631824	103	49	54	4	435470	0.907407	0.074074	2131832	1715714
ERR2631828	16	0	16	0	619407	0.000000	0.000000	2126839	1536727
ERR2631829	0	0	0	0	459288	0.000000	0.000000	2108136	1659539
ERR2631830	47	22	25	2	619407	0.880000	0.080000	2133981	1543891
ERR2631731	65	5	60	1	455151	0.083333	0.016667	2066442	1628671
ERR2631831	555	421	134	17	427244	3.141791	0.126866	2124967	1762829
ERR2631833	2439	980	1459	31	261387	0.671693	0.021247	2142718	1930495
ERR2631834	0	0	0	0	508714	0.000000	0.000000	2180830	1678920
ERR2631835	0	0	0	0	500916	0.000000	0.000000	2095051	1613262
ERR2631836	12	0	12	0	500916	0.000000	0.000000	2099823	1617093
ERR2631837	0	0	0	0	520110	0.000000	0.000000	2105989	1605714
ERR2631838	40	0	40	0	387322	0.000000	0.000000	2101687	1738671
ERR2631840	7	7	0	1	519541	0.000000	0.000000	2110293	1612447
ERR2631732	3	0	3	0	491913	0.000000	0.000000	2142597	1671320
ERR2631841	60	45	15	4	451066	3.000000	0.266667	2142144	1700886
ERR2631843	293	211	82	9	451882	2.573171	0.109756	2140560	1710592
ERR2631844	0	0	0	0	508714	0.000000	0.000000	2181353	1679453
ERR2631845	0	0	0	0	521547	0.000000	0.000000	2104186	1601706
ERR2631846	61	0	61	0	427585	0.000000	0.000000	2132448	1719220
ERR2631847	5	0	5	0	619407	0.000000	0.000000	2126945	1539191
ERR2631848	0	0	0	0	619407	0.000000	0.000000	2129440	1539126
ERR2631849	1093	805	288	23	490780	2.795139	0.079861	2139326	1701855
ERR2631733	205	176	29	11	531914	6.068965	0.379310	2113183	1618204
ERR2631853	0	0	0	0	502548	0.000000	0.000000	2134361	1653821
ERR2631854	5	0	5	0	502548	0.000000	0.000000	2137683	1656431
ERR2631855	43	19	24	2	530943	0.791667	0.083333	2108260	1598829
ERR2631857	1422	1385	37	10	552218	37.432434	0.270270	2107935	1600283
ERR2631858	4	0	4	0	511774	0.000000	0.000000	2108470	1614411
ERR2631859	716	475	241	19	398511	1.970954	0.078838	2068182	1727273
ERR2631860	5	0	5	0	468669	0.000000	0.000000	2132255	1671221
ERR2631861	7	0	7	0	533018	0.000000	0.000000	2159798	1644814
ERR2631734	6	0	6	0	360798	0.000000	0.000000	2125518	1781750
ERR2631862	5	0	5	0	587273	0.000000	0.000000	2100700	1539682
ERR2631863	11	5	6	1	588093	0.833333	0.166667	2081732	1518445
ERR2631864	0	0	0	0	519432	0.000000	0.000000	2097770	1598713
ERR2631865	0	0	0	0	521089	0.000000	0.000000	2123494	1620784
ERR2631867	0	0	0	0	587020	0.000000	0.000000	2105178	1543993
ERR2631868	0	0	0	0	483243	0.000000	0.000000	2140835	1670404
ERR2631869	613	565	48	11	552380	11.770833	0.229167	2107628	1585229
ERR2631870	1503	1278	225	36	620837	5.680000	0.160000	2153176	1642809
ERR2631871	198	164	34	6	468106	4.823529	0.176471	2148737	1699727
ERR2631735	6	0	6	0	413739	0.000000	0.000000	2151581	1744188
ERR2631872	0	0	0	0	495368	0.000000	0.000000	2127501	1660610
ERR2631873	6	0	6	0	522539	0.000000	0.000000	2109841	1606447
ERR2631874	54	28	26	3	455602	1.076923	0.115385	2148096	1704416
ERR2631875	19	10	9	1	580749	1.111111	0.111111	2125439	1572295
ERR2631876	489	365	124	6	429353	2.943548	0.048387	2137203	1739143
ERR2631877	43	0	43	0	387322	0.000000	0.000000	2102522	1737899
ERR2631878	487	473	14	11	525316	33.785713	0.785714	2097108	1597588
ERR2631879	11	8	3	1	587277	2.666667	0.333333	2106428	1544926
ERR2631880	38	9	29	1	437859	0.310345	0.034483	2074921	1655255
ERR2631881	36	15	21	2	457279	0.714286	0.095238	2146097	1698128
ERR2631736	2	0	2	0	503038	0.000000	0.000000	2189986	1693110
ERR2631883	90	71	19	2	521299	3.736842	0.105263	2103814	1601568
ERR2631884	6	0	6	0	511774	0.000000	0.000000	2111110	1615696
ERR2631885	0	0	0	0	552515	0.000000	0.000000	2099887	1570620
ERR2631886	11	0	11	0	619407	0.000000	0.000000	2129652	1540342
ERR2631887	0	0	0	0	488837	0.000000	0.000000	2184785	1701423
ERR2631888	0	0	0	0	488837	0.000000	0.000000	2179056	1695690
ERR2631889	271	239	32	11	500331	7.468750	0.343750	2158862	1691844
ERR2631890	12	0	12	0	488024	0.000000	0.000000	2189556	1707539
ERR2631891	1435	1184	251	33	594266	4.717132	0.131474	2126912	1606939
ERR2631737	0	0	0	0	498925	0.000000	0.000000	2183848	1689614
ERR2631893	8	0	8	0	577304	0.000000	0.000000	2126195	1575818
ERR2631894	0	0	0	0	453645	0.000000	0.000000	2146651	1702371
ERR2631895	8	5	3	1	614204	1.666667	0.333333	2107523	1518173
ERR2631896	28	20	8	2	619521	2.500000	0.250000	2127825	1538294
ERR2631897	0	0	0	0	429058	0.000000	0.000000	2085359	1673591
ERR2631898	12	0	12	0	556386	0.000000	0.000000	2142399	1600920
ERR2631899	0	0	0	0	524263	0.000000	0.000000	2106752	1600381
ERR2631900	0	0	0	0	520938	0.000000	0.000000	2175013	1664166
ERR2631901	334	226	108	12	497093	2.092592	0.111111	2086842	1620986
ERR2631738	28	13	15	2	519656	0.866667	0.133333	2155133	1649155
ERR2631902	113	96	17	8	620117	5.647059	0.470588	2123952	1532282
ERR2631903	838	591	247	23	403251	2.392713	0.093117	2070227	1729316
ERR2631904	0	0	0	0	579193	0.000000	0.000000	2105522	1553590
ERR2631905	0	0	0	0	522539	0.000000	0.000000	2109883	1606601
ERR2631906	0	0	0	0	457607	0.000000	0.000000	2144568	1695853
ERR2631907	0	0	0	0	453645	0.000000	0.000000	2144791	1701136
ERR2631910	1	0	1	0	532808	0.000000	0.000000	2102071	1592154
ERR2631911	0	0	0	0	453645	0.000000	0.000000	2142049	1698435
ERR2631739	0	0	0	0	503038	0.000000	0.000000	2186047	1691086
ERR2631740	4	0	4	0	371979	0.000000	0.000000	2136986	1778231
ERR2631742	34	29	5	1	522539	5.800000	0.200000	2104485	1601256
ERR2631743	0	0	0	0	453645	0.000000	0.000000	2145828	1702303
ERR2631744	16	9	7	1	372020	1.285714	0.142857	2134314	1775219
ERR2631745	2	0	2	0	449150	0.000000	0.000000	2120600	1688440
ERR2631746	783	664	119	24	553310	5.579832	0.201681	2104755	1587443
ERR2631747	0	0	0	0	513624	0.000000	0.000000	2163074	1659222
ERR2631748	483	387	96	14	409715	4.031250	0.145833	2080668	1693045
ERR2631749	0	0	0	0	413739	0.000000	0.000000	2149003	1741831
ERR2631750	0	0	0	0	445940	0.000000	0.000000	2143933	1709565
ERR2631723	0	0	0	0	456819	0.000000	0.000000	2139181	1701343
ERR2631751	58	43	15	3	453416	2.866667	0.200000	2149416	1714741
ERR2631752	8	7	1	1	453645	7.000000	1.000000	2144822	1700106
ERR2631753	0	0	0	0	413739	0.000000	0.000000	2147248	1739685
ERR2631754	0	0	0	0	524145	0.000000	0.000000	2173192	1660210
ERR2631755	92	84	8	3	482010	10.500000	0.375000	2191561	1715784
ERR2631756	27	19	8	2	532808	2.375000	0.250000	2100917	1591094
ERR2631757	0	0	0	0	518770	0.000000	0.000000	2098867	1600522
ERR2631758	11	0	11	0	446311	0.000000	0.000000	2115950	1680183
ERR2631759	20	4	16	1	532783	0.250000	0.062500	2096764	1588942
ERR2631760	43	0	43	0	448389	0.000000	0.000000	2149439	1710648
ERR2631724	18	4	14	1	521089	0.285714	0.071429	2123205	1621106
ERR2631761	0	0	0	0	619407	0.000000	0.000000	2130044	1538918
ERR2631762	13	5	8	1	409886	0.625000	0.125000	2142682	1746017
ERR2631763	6	0	6	0	409886	0.000000	0.000000	2140271	1743826
ERR2631764	0	0	0	0	501857	0.000000	0.000000	2178151	1686308
ERR2631765	560	466	94	15	442400	4.957447	0.159574	2146947	1727271
ERR2631766	0	0	0	0	441809	0.000000	0.000000	2146981	1715656
ERR2631767	846	794	52	20	484290	15.269231	0.384615	2144578	1714219
ERR2631768	5	5	0	1	371979	0.000000	0.000000	2137782	1778378
ERR2631769	1142	969	173	28	484256	5.601156	0.161850	2088535	1676582
ERR2631770	0	0	0	0	413739	0.000000	0.000000	2144920	1737996
ERR2631725	539	464	75	17	516523	6.186666	0.226667	2188711	1707236
ERR2631771	222	204	18	9	455463	11.333333	0.500000	2144605	1708728
ERR2631772	0	0	0	0	451485	0.000000	0.000000	2148489	1706112
ERR2631773	235	205	30	7	497950	6.833333	0.233333	2136720	1657624
ERR2631774	296	253	43	11	546538	5.883721	0.255814	2100138	1589155
ERR2631775	93	86	7	1	525813	12.285714	0.142857	2119519	1615207
ERR2631776	0	0	0	0	527441	0.000000	0.000000	2103953	1593975
ERR2631777	98	82	16	3	511317	5.125000	0.187500	2105447	1621732
ERR2631778	43	21	22	2	576118	0.954545	0.090909	2105593	1557462
ERR2631779	5	5	0	1	527188	0.000000	0.000000	2101992	1595750
ERR2631780	0	0	0	0	483353	0.000000	0.000000	2185938	1708993
ERR2631781	11	5	6	1	529379	0.833333	0.166667	2111841	1600529
ERR2631782	0	0	0	0	415941	0.000000	0.000000	2143794	1735007
ERR2631783	11	11	0	1	538009	0.000000	0.000000	2109507	1588597
ERR2631784	198	157	41	10	529229	3.829268	0.243902	2105328	1603461
ERR2631785	8	6	2	1	389437	3.000000	0.500000	2146205	1771978
ERR2631786	69	22	47	3	448389	0.468085	0.063830	2150184	1711452
ERR2631727	0	0	0	0	556386	0.000000	0.000000	2145606	1602133
ERR2631794	217	172	45	14	468728	3.822222	0.311111	2081524	1645670
ERR2631795	14	4	10	1	417308	0.400000	0.100000	2141504	1734058
ERR2631796	384	331	53	18	407269	6.245283	0.339623	2146690	1777011
ERR2631797	0	0	0	0	502058	0.000000	0.000000	2097771	1616486
ERR2631798	129	118	11	4	520420	10.727273	0.363636	2171435	1680461
ERR2631799	1	0	1	0	495368	0.000000	0.000000	2131158	1662624
ERR2631800	0	0	0	0	544976	0.000000	0.000000	2103405	1581142
ERR2631728	0	0	0	0	442976	0.000000	0.000000	2111682	1674798
ERR2631801	1	0	1	0	544976	0.000000	0.000000	2101913	1578631
ERR2631802	0	0	0	0	497301	0.000000	0.000000	2133177	1653833
ERR2631803	0	0	0	0	501857	0.000000	0.000000	2177625	1684813
ERR2631807	715	527	188	18	502140	2.803191	0.095745	2116375	1642284
ERR2631808	0	0	0	0	531971	0.000000	0.000000	2104548	1593102
ERR2631809	197	111	86	7	534940	1.290698	0.081395	2093918	1585938
ERR2631810	4	0	4	0	492411	0.000000	0.000000	2131142	1663624
ERR2631729	4	0	4	0	539557	0.000000	0.000000	2110260	1586590
ERR2631811	0	0	0	0	527264	0.000000	0.000000	2126983	1622146
ERR2631812	0	0	0	0	416946	0.000000	0.000000	2139683	1734882
ERR2631813	997	727	270	26	518458	2.692593	0.096296	2127078	1668639
ERR2631814	28	5	23	1	429681	0.217391	0.043478	2130308	1714984
ERR2631815	1	0	1	0	451485	0.000000	0.000000	2149664	1707724
ERR2631816	0	0	0	0	614204	0.000000	0.000000	2106327	1516975
ERR2631817	0	0	0	0	486108	0.000000	0.000000	2142278	1671876
ERR2631818	0	0	0	0	574702	0.000000	0.000000	2176185	1612833
ERR2631819	3310	1652	1658	33	376805	0.996381	0.019903	2135778	1840503
ERR2631730	0	0	0	0	538009	0.000000	0.000000	2108658	1587831
ERR2632011	135	112	23	3	489238	4.869565	0.130435	2156861	1684498
ERR2632012	0	0	0	0	448389	0.000000	0.000000	2145660	1706682
ERR2632013	5	0	5	0	423181	0.000000	0.000000	2150557	1737748
ERR2632014	0	0	0	0	449150	0.000000	0.000000	2119545	1686554
ERR2632015	0	0	0	0	529312	0.000000	0.000000	2107085	1592070
ERR2632016	32	13	19	2	511653	0.684211	0.105263	2110866	1615169
ERR2632017	7	5	2	1	519432	2.500000	0.500000	2095318	1598950
ERR2632018	8	0	8	0	538832	0.000000	0.000000	2107215	1586748
ERR2632019	1	0	1	0	524925	0.000000	0.000000	2106771	1602120
ERR2632020	1367	1138	229	22	590597	4.969432	0.096070	2105381	1623482
ERR2631921	0	0	0	0	529150	0.000000	0.000000	2100062	1592601
ERR2632021	320	164	156	6	429234	1.051282	0.038462	2126878	1717474
ERR2632022	1250	980	270	33	515372	3.629630	0.122222	2118668	1700426
ERR2632026	28	10	18	2	484531	0.555556	0.111111	2137778	1671197
ERR2632028	1	0	1	0	352555	0.000000	0.000000	2087446	1748571
ERR2631922	17	11	6	1	429058	1.833333	0.166667	2081355	1670464
ERR2632033	0	0	0	0	577304	0.000000	0.000000	2133325	1580106
ERR2632034	0	0	0	0	577304	0.000000	0.000000	2134555	1580599
ERR2632035	3	0	3	0	623863	0.000000	0.000000	2127522	1532793
ERR2632036	153	117	36	3	497590	3.250000	0.083333	2099914	1618787
ERR2632037	105	97	8	7	486150	12.125000	0.875000	2183693	1707159
ERR2632038	4	0	4	0	518171	0.000000	0.000000	2099327	1598072
ERR2632039	32	6	26	1	519758	0.230769	0.038462	2104264	1605723
ERR2632040	7	0	7	0	588093	0.000000	0.000000	2081061	1515680
ERR2631923	14	6	8	1	481440	0.750000	0.125000	2144197	1672927
ERR2632041	352	326	26	7	524245	12.538462	0.269231	2104939	1605320
ERR2632042	203	185	18	6	487344	10.277778	0.333333	2105323	1639228
ERR2632043	0	0	0	0	538383	0.000000	0.000000	2105945	1587088
ERR2632044	33	33	0	2	538383	0.000000	0.000000	2105162	1586703
ERR2631924	5	0	5	0	435395	0.000000	0.000000	2144464	1716541
ERR2631925	51	6	45	1	468999	0.133333	0.022222	2107894	1652095
ERR2631926	0	0	0	0	532808	0.000000	0.000000	2100807	1590665
ERR2631927	775	665	110	22	556475	6.045455	0.200000	2102700	1619700
ERR2631928	0	0	0	0	472781	0.000000	0.000000	2187741	1720389
ERR2631929	0	0	0	0	564686	0.000000	0.000000	2128978	1588272
ERR2631930	0	0	0	0	472781	0.000000	0.000000	2185260	1718621
ERR2631912	53	35	18	2	507545	1.944444	0.111111	2135975	1654668
ERR2631931	117	81	36	5	532953	2.250000	0.138889	2106497	1592670
ERR2631932	13	0	13	0	478664	0.000000	0.000000	2146370	1677117
ERR2631933	262	232	30	5	388319	7.733333	0.166667	2116083	1752654
ERR2631934	0	0	0	0	423181	0.000000	0.000000	2149102	1735692
ERR2631935	0	0	0	0	518646	0.000000	0.000000	2179608	1668768
ERR2631936	193	155	38	5	479280	4.078948	0.131579	2102761	1643285
ERR2631937	108	78	30	2	425235	2.600000	0.066667	2136043	1725291
ERR2631938	0	0	0	0	413739	0.000000	0.000000	2145118	1737489
ERR2631939	6	0	6	0	413739	0.000000	0.000000	2145810	1738476
ERR2631913	995	743	252	30	419117	2.948413	0.119048	2132136	1764341
ERR2631941	0	0	0	0	556476	0.000000	0.000000	2105350	1567694
ERR2631942	147	121	26	9	586535	4.653846	0.346154	2135845	1582615
ERR2631947	15	9	6	1	482010	1.500000	0.166667	2189970	1714090
ERR2631949	2	0	2	0	619407	0.000000	0.000000	2134052	1542203
ERR2631950	40	21	19	3	452366	1.105263	0.157895	2149089	1705753
ERR2631914	0	0	0	0	429058	0.000000	0.000000	2082131	1671287
ERR2631951	0	0	0	0	495368	0.000000	0.000000	2131076	1662917
ERR2631952	12	6	6	1	511130	1.000000	0.166667	2126141	1629553
ERR2631953	0	0	0	0	442747	0.000000	0.000000	2077103	1657004
ERR2631954	5	0	5	0	478475	0.000000	0.000000	2144770	1674354
ERR2631955	10	0	10	0	442246	0.000000	0.000000	2080027	1656856
ERR2631956	1	0	1	0	429058	0.000000	0.000000	2085541	1674345
ERR2631957	0	0	0	0	522539	0.000000	0.000000	2104015	1603473
ERR2631958	0	0	0	0	449614	0.000000	0.000000	2142210	1703200
ERR2631959	0	0	0	0	533018	0.000000	0.000000	2156633	1640335
ERR2631960	31	19	12	2	568185	1.583333	0.166667	2107777	1577086
ERR2631915	1153	943	210	23	584967	4.490476	0.109524	2105711	1590606
ERR2631962	7	6	1	1	413739	6.000000	1.000000	2144005	1737214
ERR2631963	268	174	94	8	537118	1.851064	0.085106	2102791	1606143
ERR2631964	10	0	10	0	423181	0.000000	0.000000	2148631	1734042
ERR2631965	1	0	1	0	501857	0.000000	0.000000	2178371	1686075
ERR2631966	0	0	0	0	552515	0.000000	0.000000	2099844	1571327
ERR2631967	4	0	4	0	539557	0.000000	0.000000	2107309	1584649
ERR2631968	2	0	2	0	619407	0.000000	0.000000	2128389	1539360
ERR2631969	546	499	47	6	473945	10.617022	0.127660	2140496	1703187
ERR2631970	5	0	5	0	501090	0.000000	0.000000	2174089	1682225
ERR2631916	39	33	6	3	421204	5.500000	0.500000	2151808	1737411
ERR2631971	6	0	6	0	501857	0.000000	0.000000	2175535	1683541
ERR2631972	39	27	12	2	520938	2.250000	0.166667	2171185	1660189
ERR2631973	2	0	2	0	330304	0.000000	0.000000	2093705	1776970
ERR2631974	0	0	0	0	463605	0.000000	0.000000	2145960	1702956
ERR2631975	50	34	16	2	516348	2.125000	0.125000	2126271	1627740
ERR2631976	0	0	0	0	435395	0.000000	0.000000	2146046	1716769
ERR2631977	0	0	0	0	498913	0.000000	0.000000	2103379	1620404
ERR2631978	0	0	0	0	463605	0.000000	0.000000	2144458	1700473
ERR2631979	63	46	17	3	384000	2.705882	0.176471	2137379	1761000
ERR2631980	1678	1408	270	35	514179	5.214815	0.129630	2190200	1735976
ERR2631917	117	113	4	7	539015	28.250000	1.750000	2114104	1601444
ERR2631981	1169	887	282	30	481983	3.145390	0.106383	2110280	1689133
ERR2631982	0	0	0	0	619521	0.000000	0.000000	2131519	1541024
ERR2631983	78	55	23	3	507989	2.391304	0.130435	2173943	1675042
ERR2631984	0	0	0	0	562974	0.000000	0.000000	2127820	1583946
ERR2631985	0	0	0	0	482010	0.000000	0.000000	2187967	1711893
ERR2631986	0	0	0	0	448477	0.000000	0.000000	2148080	1710311
ERR2631987	1	0	1	0	330304	0.000000	0.000000	2098538	1779785
ERR2631988	0	0	0	0	330304	0.000000	0.000000	2102272	1783972
ERR2631989	13	0	13	0	524145	0.000000	0.000000	2173592	1660255
ERR2631918	1321	1092	229	24	478020	4.768559	0.104803	2094585	1677291
ERR2631991	0	0	0	0	478664	0.000000	0.000000	2146301	1676943
ERR2631992	0	0	0	0	330304	0.000000	0.000000	2099681	1780977
ERR2631993	266	251	15	5	559318	16.733334	0.333333	2111594	1591640
ERR2631994	0	0	0	0	441809	0.000000	0.000000	2145428	1715707
ERR2631995	6	5	1	1	519541	5.000000	1.000000	2109687	1610962
ERR2631996	341	211	130	12	528343	1.623077	0.092308	2106314	1602519
ERR2631997	8	6	2	1	482010	3.000000	0.500000	2189704	1714618
ERR2631998	2380	1790	590	40	512095	3.033898	0.067797	2096577	1697021
ERR2631999	714	548	166	22	395050	3.301205	0.132530	2089519	1732464
ERR2632000	2130	1347	783	37	500092	1.720307	0.047254	2096093	1642853
ERR2631919	0	0	0	0	532808	0.000000	0.000000	2102466	1593679
ERR2632001	2	0	2	0	524925	0.000000	0.000000	2109554	1603690
ERR2632002	218	213	5	3	495357	42.599998	0.600000	2192396	1707151
ERR2632003	118	94	24	7	478276	3.916667	0.291667	2107523	1644756
ERR2632004	78	76	2	2	501924	38.000000	1.000000	2101253	1612182
ERR2632005	11	0	11	0	518171	0.000000	0.000000	2098970	1598784
ERR2632006	0	0	0	0	423240	0.000000	0.000000	2139405	1728451
ERR2632007	0	0	0	0	538980	0.000000	0.000000	2108481	1591382
ERR2632008	97	42	55	6	450169	0.763636	0.109091	2104343	1675272
ERR2632009	586	458	128	21	512119	3.578125	0.164062	2103693	1610867
ERR2632010	159	101	58	5	623863	1.741379	0.086207	2130042	1533224
ERR2631920	110	60	50	6	448389	1.200000	0.120000	2146286	1707442
ERR1837103	0	0	0	0	524037	0.000000	0.000000	2138633	1631624
ERR1837104	0	0	0	0	527264	0.000000	0.000000	2143776	1634798
ERR1837105	5	0	5	0	520938	0.000000	0.000000	2188683	1676802
ERR1837106	13	8	5	1	429326	1.600000	0.200000	2136052	1718142
ERR1837107	1	0	1	0	492611	0.000000	0.000000	2080211	1601165
ERR1837109	26	21	5	3	536845	4.200000	0.600000	2151217	1625285
ERR1837110	0	0	0	0	412356	0.000000	0.000000	2145358	1748392
ERR1837111	5	5	0	1	442802	0.000000	0.000000	2097246	1674382
ERR1837112	26	0	26	0	428396	0.000000	0.000000	2150042	1734847
ERR1837113	1151	583	568	21	352934	1.026408	0.036972	2151152	1827998
ERR1837114	190	131	59	7	440012	2.220339	0.118644	2142152	1712518
ERR1837115	213	152	61	10	543296	2.491803	0.163934	2119087	1592528
ERR1837116	0	0	0	0	516348	0.000000	0.000000	2135548	1633071
ERR1837117	3	0	3	0	462125	0.000000	0.000000	2090226	1648510
ERR1837118	10	0	10	0	557098	0.000000	0.000000	2121173	1582420
ERR1837119	8	7	1	1	524037	7.000000	1.000000	2136449	1629669
ERR1837120	0	0	0	0	518171	0.000000	0.000000	2112428	1609087
ERR1837121	9	7	2	1	485637	3.500000	0.500000	2189668	1713555
ERR1837122	6	0	6	0	544113	0.000000	0.000000	2114612	1587818
ERR1837123	0	0	0	0	443021	0.000000	0.000000	2093969	1670738
ERR1837125	0	0	0	0	534255	0.000000	0.000000	2134979	1620091
ERR1837126	3	0	3	0	492611	0.000000	0.000000	2082553	1603259
ERR1837127	169	129	40	9	439748	3.225000	0.225000	2137299	1719574
ERR1837128	3	0	3	0	557917	0.000000	0.000000	2184358	1635920
ERR1837129	8	0	8	0	521877	0.000000	0.000000	2112494	1610152
ERR1837130	0	0	0	0	536845	0.000000	0.000000	2148661	1622917
ERR1837131	5	0	5	0	540191	0.000000	0.000000	2124961	1600186
ERR1837132	111	55	56	5	489375	0.982143	0.089286	2145870	1671058
ERR1837133	0	0	0	0	525813	0.000000	0.000000	2137911	1628659
ERR2632045	0	0	0	0	534255	0.000000	0.000000	2136280	1621561
ERR1837102	75	68	7	5	510539	9.714286	0.714286	2119389	1623086
ERR3200821	1212	1081	131	29	503869	8.251908	0.221374	2157602	1715672
ERR3200822	13	6	7	1	533839	0.857143	0.142857	2114932	1600658
ERR3200824	1	0	1	0	568275	0.000000	0.000000	2131226	1583538
ERR3200825	21	11	10	1	501142	1.100000	0.100000	2112242	1627818
ERR3200826	2	0	2	0	446982	0.000000	0.000000	2123390	1695034
ERR3200860	473	401	72	12	461688	5.569445	0.166667	2149717	1709086
ERR3200861	0	0	0	0	560590	0.000000	0.000000	2109621	1570336
ERR3200862	97	67	30	4	522984	2.233333	0.133333	2113593	1609735
ERR3200863	34	29	5	4	444975	5.800000	0.800000	2150481	1713846
ERR3200864	219	184	35	9	437783	5.257143	0.257143	2088355	1676937
ERR3200865	12	5	7	1	527343	0.714286	0.142857	2138751	1629980
ERR3200866	9	0	9	0	623019	0.000000	0.000000	2139893	1539088
ERR3200827	97	86	11	2	521625	7.818182	0.181818	2113121	1606943
ERR3200867	35	25	10	2	415941	2.500000	0.200000	2155908	1745171
ERR3200868	0	0	0	0	578884	0.000000	0.000000	2100734	1541089
ERR3200869	0	0	0	0	448406	0.000000	0.000000	2152399	1713614
ERR3200870	0	0	0	0	534630	0.000000	0.000000	2118836	1602987
ERR3200871	0	0	0	0	525813	0.000000	0.000000	2132637	1625312
ERR3200872	0	0	0	0	571797	0.000000	0.000000	2172239	1609587
ERR3200873	4253	2065	2188	46	329326	0.943784	0.021024	2140864	1894031
ERR3200874	255	231	24	5	504420	9.625000	0.208333	2080927	1608379
ERR3200875	17	0	17	0	371423	0.000000	0.000000	2145687	1786577
ERR3200876	170	168	2	3	391861	84.000000	1.500000	2152633	1775458
ERR3200828	10	5	5	1	502548	1.000000	0.200000	2145733	1663780
ERR3200877	505	476	29	11	525405	16.413794	0.379310	2111991	1616425
ERR3200878	446	357	89	10	514222	4.011236	0.112360	2144109	1671039
ERR3200879	81	64	17	4	522640	3.764706	0.235294	2110472	1606422
ERR3200880	0	0	0	0	518171	0.000000	0.000000	2105929	1602840
ERR3200881	0	0	0	0	473073	0.000000	0.000000	2132177	1668776
ERR3200882	0	0	0	0	619407	0.000000	0.000000	2135021	1541969
ERR3200883	0	0	0	0	623863	0.000000	0.000000	2131484	1536153
ERR3200884	0	0	0	0	529352	0.000000	0.000000	2114371	1594739
ERR3200885	178	58	120	4	472478	0.483333	0.033333	2129935	1674025
ERR3200886	0	0	0	0	509215	0.000000	0.000000	2136287	1643249
ERR3200829	2	0	2	0	446982	0.000000	0.000000	2122820	1694304
ERR3200888	0	0	0	0	556476	0.000000	0.000000	2109243	1572472
ERR3200889	397	348	49	7	473558	7.102041	0.142857	2089803	1650752
ERR3200890	0	0	0	0	522230	0.000000	0.000000	2112185	1609125
ERR3200891	0	0	0	0	577592	0.000000	0.000000	2139217	1585239
ERR3200892	211	121	90	9	451873	1.344444	0.100000	2121365	1685017
